,DAX,VOL_DAX,REALIZED_VOL_DAX,TASSO_3M_DE,YIELD_10Y_DE,CPI_DE,CORE_CPI_DE,INDPROD_DE,UNEMP_DE,TERM_SPREAD_DE
2014-01-31,9306.48046875,126856500,0.1380138551220012,0.2920455,1.7559090909,99.48821,97.42345,99.16237,4.8,1.4638635909
2014-02-03,9186.51953125,105545400,0.14358045467209013,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-04,9127.91015625,114598200,0.14466338686781788,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-05,9116.3203125,95608700,0.14023074871852348,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-06,9256.580078125,122685200,0.15257815099300023,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-07,9301.919921875,89003400,0.15183861756612527,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-10,9289.8603515625,59599900,0.1502455928669436,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-11,9478.76953125,76248400,0.166727563992009,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-12,9540.0,85292300,0.16792216431477713,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-13,9596.76953125,93209100,0.15286291735482754,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-14,9662.400390625,91504800,0.15496325729974783,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-17,9656.759765625,45850100,0.1546241088717546,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-18,9659.7802734375,58827300,0.1543902467158794,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-19,9660.0498046875,72892900,0.15427179554108464,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-20,9618.849609375,88676900,0.15487084267932189,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-21,9656.9501953125,78587700,0.15222079522372858,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-24,9708.9404296875,67953500,0.12287284845060403,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-25,9699.349609375,90676100,0.12122673066127279,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-26,9661.73046875,87277200,0.12163822980280711,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-27,9588.330078125,86422200,0.12176304970302426,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-28,9692.080078125,83200800,0.1259094082139207,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-03-03,9358.8896484375,118040200,0.17541090886121752,0.3053333,1.5085714286,99.48821,98.42543,99.45232,4.8,1.2032381286
2014-03-04,9589.150390625,95630200,0.18748609726219234,0.3053333,1.5085714286,99.48821,98.42543,99.45232,4.8,1.2032381286
2014-03-05,9542.01953125,73341700,0.18671722029400986,0.3053333,1.5085714286,99.48821,98.42543,99.45232,4.8,1.2032381286
2014-03-06,9542.8701171875,103682600,0.1864599317473381,0.3053333,1.5085714286,99.48821,98.42543,99.45232,4.8,1.2032381286
2014-03-07,9350.75,103246700,0.19530728263844818,0.3053333,1.5085714286,99.48821,98.42543,99.45232,4.8,1.2032381286
2014-03-10,9265.5,84875400,0.1974030423411738,0.3053333,1.5085714286,99.48821,98.42543,99.45232,4.8,1.2032381286
2014-03-11,9307.7900390625,72300800,0.19800331813124955,0.3053333,1.5085714286,99.48821,98.42543,99.45232,4.8,1.2032381286
2014-03-12,9188.6904296875,107430600,0.18851616682571817,0.3053333,1.5085714286,99.48821,98.42543,99.45232,4.8,1.2032381286
2014-03-13,9017.7900390625,113773100,0.19520042705082113,0.3053333,1.5085714286,99.48821,98.42543,99.45232,4.8,1.2032381286
2014-03-14,9056.41015625,141175500,0.19436301015217294,0.3053333,1.5085714286,99.48821,98.42543,99.45232,4.8,1.2032381286
2014-03-17,9180.8896484375,86964500,0.2000164821577564,0.3053333,1.5085714286,99.48821,98.42543,99.45232,4.8,1.2032381286
2014-03-18,9242.5498046875,99301200,0.2024152152108445,0.3053333,1.5085714286,99.48821,98.42543,99.45232,4.8,1.2032381286
