data,giorno,allocazione_K,posizione_prec,turnover,operazione,posizione,rendimento_giorno,rendimento_buyhold,equity_agente,equity_buyhold,drawdown_agente
2020-08-19,1,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.011352896690368652,100000.0,98864.71033096313,0.0
2020-08-20,2,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.005081828587716997,100000.0,98362.29681968689,0.0
2020-08-21,3,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.02363848288027448,100000.0,100687.43228912354,0.0
2020-08-24,4,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0003766157716408314,100000.0,100649.51181411743,0.0
2020-08-25,5,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.009840351160410155,100000.0,101639.93835449219,0.0
2020-08-26,6,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.007110573368412809,100000.0,100917.22011566162,0.0
2020-08-27,7,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.004822722681928515,100000.0,100430.52434921265,0.0
2020-08-28,8,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.006738263085919849,100000.0,99753.79705429077,0.0
2020-08-31,9,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.002230174516951955,100000.0,99976.26543045044,0.0
2020-09-01,10,1.0,0.0,1.0,COMPRA,LONG,0.019747138023376465,0.020747221436247854,101974.71380233765,102050.49514770508,0.0
2020-09-02,11,1.0,1.0,0.0,MANTIENE,LONG,-0.014018981655804397,-0.01401908460793011,100545.13216018677,100619.84062194824,-0.014018981655804437
2020-09-03,12,0.0,1.0,-1.0,VENDE,CASH,-0.0009999600442809342,-0.016473643355380707,100444.59104537964,98962.26525306702,-0.015004923278568021
2020-09-04,13,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.02005979240158151,100444.59104537964,100947.42774963379,-0.015004923278568021
2020-09-07,14,1.0,0.0,1.0,COMPRA,LONG,-0.011072285071404231,-0.010072349305935036,99332.43989944458,99930.64999580383,-0.025911069561957382
2020-09-08,15,1.0,1.0,0.0,MANTIENE,LONG,0.020733602164700216,0.02073360893368381,101391.95919036865,102002.57301330566,-0.005714697205216723
2020-09-09,16,0.0,1.0,-1.0,VENDE,CASH,-0.0009999560278007857,-0.002139519033035997,101290.57168960571,101784.33656692505,-0.006708938787100087
2020-09-10,17,1.0,0.0,1.0,COMPRA,LONG,-0.00145794880443606,-0.000457937181559398,101142.8952217102,101737.7257347107,-0.00815710630225248
2020-09-11,18,1.0,1.0,0.0,MANTIENE,LONG,-0.0006952693983285352,-0.0006953054229252853,101072.5736618042,101666.98694229126,-0.00884670431419016
2020-09-14,19,1.0,1.0,0.0,MANTIENE,LONG,0.00181987978650211,0.001819792470960424,101256.51359558105,101851.99975967407,-0.007042924466046679
2020-09-15,20,1.0,1.0,0.0,MANTIENE,LONG,0.0028522446165604176,0.002852188650117382,101545.32194137573,102142.50087738037,-0.004210767992879337
2020-09-16,21,1.0,1.0,0.0,MANTIENE,LONG,-0.0035645865301502377,-0.003564520243958702,101183.35485458374,101778.41186523438,-0.007760344876160518
2020-09-17,22,1.0,1.0,0.0,MANTIENE,LONG,-0.0069555689733885595,-0.006955662541322183,100479.56705093384,101070.4755783081,-0.014661936235505612
2020-09-18,23,0.25,1.0,-0.75,VENDE,LONG,-0.011686962270121004,-0.043747904971760065,99305.26614189148,96648.85401725769,-0.02617754501003535
2020-09-21,24,0.0,0.25,-0.25,VENDE,CASH,-0.0002499901114355607,0.0041418472922611915,99280.44080734253,97049.15881156921,-0.026420990994076753
2020-09-22,25,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.003857292284610958,99280.44080734253,97423.50578308105,-0.026420990994076753
2020-09-23,26,1.0,0.0,1.0,COMPRA,LONG,-0.0038790276032879545,-0.00287905403454225,98895.32923698425,97143.01824569702,-0.03019753084399245
2020-09-24,27,1.0,1.0,0.0,MANTIENE,LONG,-0.010896653502197484,-0.010896683951926556,97817.7011013031,96084.48147773743,-0.040765132315960975
2020-09-25,28,1.0,1.0,0.0,MANTIENE,LONG,0.032212918010854574,0.032212984112393483,100968.69468688965,99179.64935302734,-0.009865378170102168
2020-09-28,29,0.0,1.0,-1.0,VENDE,CASH,-0.0010000155846584535,-0.0035001475998438503,100867.72441864014,98832.50594139099,-0.010855528222841979
2020-09-29,30,1.0,0.0,1.0,COMPRA,LONG,-0.006074882661234016,-0.005074920650275483,100254.96482849121,98330.93881607056,-0.016864464823896495
2020-09-30,31,0.25,1.0,-0.75,VENDE,LONG,-0.0013369804218693604,-0.0023479144392676288,100120.92590332031,98100.06618499756,-0.018178897786471044
2020-10-01,32,1.0,0.25,0.75,COMPRA,LONG,-0.00402786032972513,-0.0032778279377292385,99717.65279769897,97778.51104736328,-0.022133536054963966
2020-10-02,33,1.0,1.0,0.0,MANTIENE,LONG,0.010975594156694468,0.010975577938557413,100812.1132850647,98851.68671607971,-0.011400870607261249
2020-10-05,34,1.0,1.0,0.0,MANTIENE,LONG,0.006057776685157279,0.006057682202139647,101422.8105545044,99450.4988193512,-0.005412157850259151
2020-10-06,35,1.0,1.0,0.0,MANTIENE,LONG,0.0017473044660989423,0.0017473153321616586,101600.02708435059,99624.27020072937,-0.00367431007174321
2020-10-07,36,1.0,1.0,0.0,MANTIENE,LONG,0.008789805449552768,0.008789842444549611,102493.07155609131,100499.95183944702,0.0
2020-10-08,37,1.0,1.0,0.0,MANTIENE,LONG,0.0006916932375966578,0.0006916514432575571,102563.96532058716,100569.46277618408,0.0
2020-10-09,38,1.0,1.0,0.0,MANTIENE,LONG,0.006679809091193256,0.006679762334025341,103249.07302856445,101241.2428855896,0.0
2020-10-12,39,1.0,1.0,0.0,MANTIENE,LONG,-0.009089313671609811,-0.009089420117038949,102310.60981750488,100321.0186958313,-0.009089313671609808
2020-10-13,40,1.0,1.0,0.0,MANTIENE,LONG,0.0006966553551928101,0.0006966875672935746,102381.8850517273,100390.91110229492,-0.008398990435461301
2020-10-14,41,1.0,1.0,0.0,MANTIENE,LONG,-0.024893184598089424,-0.024893188780962805,99833.27388763428,97891.86120033264,-0.03308309741420318
2020-10-15,42,1.0,1.0,0.0,MANTIENE,LONG,0.016155833660313368,0.016155906565513467,101446.16365432739,99473.39296340942,-0.01746174877268172
2020-10-16,43,1.0,1.0,0.0,MANTIENE,LONG,-0.0042087347226842375,-0.004208734134482195,101019.20366287231,99054.73589897156,-0.02159699162698761
2020-10-19,44,1.0,1.0,0.0,MANTIENE,LONG,-0.009156955218279639,-0.00915695382055326,100094.17533874512,98147.69625663757,-0.03055618416008941
2020-10-20,45,1.0,1.0,0.0,MANTIENE,LONG,-0.014077935732330626,-0.01407801839024081,98685.05597114563,96765.97118377686,-0.044203951895589046
2020-10-21,46,1.0,1.0,0.0,MANTIENE,LONG,-0.0011610472074438105,-0.0011610361944671688,98570.4779624939,96653.62238883972,-0.04531367622812649
2020-10-22,47,1.0,1.0,0.0,MANTIENE,LONG,0.00818702742671129,0.008187021696819174,99377.47716903687,97444.92769241333,-0.037497633111500075
2020-10-23,48,1.0,1.0,0.0,MANTIENE,LONG,-0.037053582085380676,-0.037053570390908175,95695.18566131592,93834.24520492554,-0.07316179357037625
2020-10-26,49,0.0,1.0,-1.0,VENDE,CASH,-0.001000000747431229,-0.009329677222070232,95599.49040412903,92958.80198478699,-0.07408863246955373
2020-10-27,50,0.75,0.0,0.75,COMPRA,LONG,-0.03202557177587806,-0.041700834302658696,92537.86206245422,89082.34238624573,-0.1037414734285015
2020-10-28,51,0.0,0.75,-0.75,VENDE,CASH,-0.0007500027213684923,0.0032490635833293258,92468.45841407776,89371.77658081055,-0.10441366976247986
2020-10-29,52,1.0,0.0,1.0,COMPRA,LONG,-0.004585901961197569,-0.0035859447611913398,92044.40712928772,89051.29432678223,-0.10852074087073788
2020-10-30,53,1.0,1.0,0.0,MANTIENE,LONG,0.020058035981116884,0.020057993372033067,93890.63715934753,90837.48459815979,-0.0906394178147038
2020-11-02,54,1.0,1.0,0.0,MANTIENE,LONG,0.025508380239375628,0.025508397276351902,96285.63523292542,93154.60324287415,-0.06744310230962135
2020-11-03,55,1.0,1.0,0.0,MANTIENE,LONG,0.01945902231694352,0.01945901108271686,98159.259557724,94967.29969978333,-0.049296456825644604
2020-11-04,56,1.0,1.0,0.0,MANTIENE,LONG,0.019787907634692514,0.01978783607647805,100101.62591934204,96846.49705886841,-0.030484022925335637
2020-11-05,57,1.0,1.0,0.0,MANTIENE,LONG,-0.007007451233653206,-0.007007445649491295,99400.16865730286,96167.85049438477,-0.03727785885493398
2020-11-06,58,1.0,1.0,0.0,MANTIENE,LONG,0.04935490074374349,0.04935488941315547,104306.05411529541,100914.20412063599,0.0
2020-11-09,59,0.0,1.0,-1.0,VENDE,CASH,-0.0010000198861097598,0.005126813625085935,104201.74598693848,101431.57243728638,-0.0010000198861097353
2020-11-10,60,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.004031757153886151,104201.74598693848,101840.51990509033,-0.0010000198861097353
2020-11-11,61,1.0,0.0,1.0,COMPRA,LONG,-0.01335075910562955,-0.012350810640100462,102810.57357788086,100582.70692825317,-0.014337427967139004
2020-11-12,62,1.0,1.0,0.0,MANTIENE,LONG,0.0018210013107036183,0.0018210394111328743,102997.79176712036,100765.87200164795,-0.012542535131555758
2020-11-13,63,1.0,1.0,0.0,MANTIENE,LONG,0.0047328260001267,0.004732839346331952,103485.26239395142,101242.7806854248,-0.007869070767807268
2020-11-16,64,0.0,1.0,-1.0,VENDE,CASH,-0.0010000031102503915,-0.0003912698431388639,103381.77680969238,101203.16743850708,-0.008861204782815109
2020-11-17,65,1.0,0.0,1.0,COMPRA,LONG,0.004209498480909124,0.00520958916840808,103816.96224212646,101730.39436340332,-0.004689007529978311
2020-11-18,66,1.0,1.0,0.0,MANTIENE,LONG,-0.008766077706705344,-0.008766120084876983,102906.89468383789,100838.61351013184,-0.013413981032308528
2020-11-19,67,1.0,1.0,0.0,MANTIENE,LONG,0.0039041033050153384,0.0039041460908415537,103308.65383148193,101232.30218887329,-0.00956224729497478
2020-11-20,68,1.0,1.0,0.0,MANTIENE,LONG,-0.0007825843932224297,-0.0007825029283509144,103227.8060913086,101153.0876159668,-0.010337348422700062
2020-11-23,69,0.0,1.0,-1.0,VENDE,CASH,-0.0009999565788574305,0.012605393587242775,103124.58276748657,102428.16209793091,-0.011326968101994257
2020-11-24,70,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0001986663170512326,103124.58276748657,102407.81307220459,-0.011326968101994257
2020-11-25,71,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.00024305664686596895,103124.58276748657,102382.92217254639,-0.011326968101994257
2020-11-26,72,1.0,0.0,1.0,COMPRA,LONG,0.002696192697090982,0.0036962208310600264,103402.62651443481,102761.35206222534,-0.008661315093580146
