data,giorno,allocazione_K,posizione_prec,turnover,operazione,posizione,rendimento_giorno,rendimento_buyhold,equity_agente,equity_buyhold,drawdown_agente
2020-08-19,1,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.011352896690368652,100000.0,98864.71033096313,0.0
2020-08-20,2,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.005081828587716997,100000.0,98362.29681968689,0.0
2020-08-21,3,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.02363848288027448,100000.0,100687.43228912354,0.0
2020-08-24,4,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0003766157716408314,100000.0,100649.51181411743,0.0
2020-08-25,5,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.009840351160410155,100000.0,101639.93835449219,0.0
2020-08-26,6,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.007110573368412809,100000.0,100917.22011566162,0.0
2020-08-27,7,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.004822722681928515,100000.0,100430.52434921265,0.0
2020-08-28,8,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.006738263085919849,100000.0,99753.79705429077,0.0
2020-08-31,9,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.002230174516951955,100000.0,99976.26543045044,0.0
2020-09-01,10,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.020747221436247854,100000.0,102050.49514770508,0.0
2020-09-02,11,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.01401908460793011,100000.0,100619.84062194824,0.0
2020-09-03,12,1.0,0.0,1.0,COMPRA,LONG,-0.01747363805770874,-0.016473643355380707,98252.63619422913,98962.26525306702,-0.01747363805770874
2020-09-04,13,1.0,1.0,0.0,MANTIENE,LONG,0.020059685549497885,0.02005979240158151,100223.55318069458,100947.42774963379,0.0
2020-09-07,14,1.0,1.0,0.0,MANTIENE,LONG,-0.010072304496024365,-0.010072349305935036,99214.07103538513,99930.64999580383,-0.010072304496024377
2020-09-08,15,1.0,1.0,0.0,MANTIENE,LONG,0.02073364713852066,0.02073360893368381,101271.14057540894,102002.57301330566,0.0
2020-09-09,16,0.0,1.0,-1.0,VENDE,CASH,-0.0009999718665949509,-0.002139519033035997,101169.87228393555,101784.33656692505,-0.0009999718665949246
2020-09-10,17,0.25,0.0,0.25,COMPRA,LONG,-0.0003644507245652573,-0.000457937181559398,101133.00085067749,101737.7257347107,-0.0013640581506888742
2020-09-11,18,0.0,0.25,-0.25,VENDE,CASH,-0.0002500102844872343,-0.0006953054229252853,101107.71656036377,101666.98694229126,-0.0016137274066097493
2020-09-14,19,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.001819792470960424,101107.71656036377,101851.99975967407,-0.0016137274066097493
2020-09-15,20,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.002852188650117382,101107.71656036377,102142.50087738037,-0.0016137274066097493
2020-09-16,21,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.003564520243958702,101107.71656036377,101778.41186523438,-0.0016137274066097493
2020-09-17,22,1.0,0.0,1.0,COMPRA,LONG,-0.00795552217583384,-0.006955662541322183,100303.35187911987,101070.4755783081,-0.009556411538274556
2020-09-18,23,0.0,1.0,-1.0,VENDE,CASH,-0.0009999934633182495,-0.043747904971760065,100203.04918289185,96648.85401725769,-0.010546848652521723
2020-09-21,24,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0041418472922611915,100203.04918289185,97049.15881156921,-0.010546848652521723
2020-09-22,25,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.003857292284610958,100203.04918289185,97423.50578308105,-0.010546848652521723
2020-09-23,26,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.00287905403454225,100203.04918289185,97143.01824569702,-0.010546848652521723
2020-09-24,27,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.010896683951926556,100203.04918289185,96084.48147773743,-0.010546848652521723
2020-09-25,28,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.032212984112393483,100203.04918289185,99179.64935302734,-0.010546848652521723
2020-09-28,29,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0035001475998438503,100203.04918289185,98832.50594139099,-0.010546848652521723
2020-09-29,30,0.5,0.0,0.5,COMPRA,LONG,-0.003037424510516251,-0.005074920650275483,99898.68998527527,98330.93881607056,-0.013552237906432061
2020-09-30,31,0.0,0.5,-0.5,VENDE,CASH,-0.0005000531317639334,-0.0023479144392676288,99848.73533248901,98100.06618499756,-0.01404551419918851
2020-10-01,32,1.0,0.0,1.0,COMPRA,LONG,-0.0042777992480586,-0.0032778279377292385,99421.60248756409,97778.51104736328,-0.018263229557167256
2020-10-02,33,1.0,1.0,0.0,MANTIENE,LONG,0.010975602956731167,0.010975577938557413,100512.81452178955,98851.68671607971,-0.007488076556763147
2020-10-05,34,0.0,1.0,-1.0,VENDE,CASH,-0.001000044356806118,0.006057682202139647,100412.29724884033,99450.4988193512,-0.008480632504865372
2020-10-06,35,1.0,0.0,1.0,COMPRA,LONG,0.0007472224906608371,0.0017473153321616586,100487.3275756836,99624.27020072937,-0.0077397469335471316
2020-10-07,36,0.0,1.0,-1.0,VENDE,CASH,-0.0009999421079904813,0.008789842444549611,100386.84606552124,100499.95183944702,-0.008731949742673514
2020-10-08,37,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0006916514432575571,100386.84606552124,100569.46277618408,-0.008731949742673514
2020-10-09,38,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.006679762334025341,100386.84606552124,101241.2428855896,-0.008731949742673514
2020-10-12,39,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.009089420117038949,100386.84606552124,100321.0186958313,-0.008731949742673514
2020-10-13,40,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0006966875672935746,100386.84606552124,100390.91110229492,-0.008731949742673514
2020-10-14,41,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.024893188780962805,100386.84606552124,97891.86120033264,-0.008731949742673514
2020-10-15,42,0.75,0.0,0.75,COMPRA,LONG,0.011366860153811942,0.016155906565513467,101527.92930603027,99473.39296340942,0.0
2020-10-16,43,1.0,0.75,0.25,COMPRA,LONG,-0.004458609944133829,-0.004208734134482195,101075.25587081909,99054.73589897156,-0.004458609944133816
2020-10-19,44,0.0,1.0,-1.0,VENDE,CASH,-0.0010000227626363323,-0.00915695382055326,100974.17831420898,98147.69625663757,-0.005454173995336265
2020-10-20,45,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.01407801839024081,100974.17831420898,96765.97118377686,-0.005454173995336265
2020-10-21,46,0.25,0.0,0.25,COMPRA,LONG,-0.0005402388195593355,-0.0011610361944671688,100919.62814331055,96653.62238883972,-0.005991466258374644
2020-10-22,47,0.75,0.25,0.5,COMPRA,LONG,0.005640254994476512,0.008187021696819174,101488.84057998657,97444.92769241333,-0.0003850046613861107
2020-10-23,48,0.0,0.75,-0.75,VENDE,CASH,-0.0007499852293433307,-0.037053570390908175,101412.7254486084,93834.24520492554,-0.0011347011429202116
2020-10-26,49,1.0,0.0,1.0,COMPRA,LONG,-0.010329705155072477,-0.009329677222070232,100365.16189575195,92958.80198478699,-0.011452685169747252
2020-10-27,50,1.0,1.0,0.0,MANTIENE,LONG,-0.04170079484609057,-0.041700834302658696,96179.85486984253,89082.34238624573,-0.05267589394113738
2020-10-28,51,0.0,1.0,-1.0,VENDE,CASH,-0.0009999812844355693,0.0032490635833293258,96083.67681503296,89371.77658081055,-0.053623200317490884
2020-10-29,52,1.0,0.0,1.0,COMPRA,LONG,-0.004585932924015768,-0.0035859447611913398,95643.0435180664,89051.29432678223,-0.057963220841679604
2020-10-30,53,1.0,1.0,0.0,MANTIENE,LONG,0.020058032286691452,0.020057993372033067,97561.45477294922,90837.48459815979,-0.039067816710071174
2020-11-02,54,1.0,1.0,0.0,MANTIENE,LONG,0.025508403665276624,0.025508397276351902,100050.09174346924,93154.60324287415,-0.014555970683756067
2020-11-03,55,1.0,1.0,0.0,MANTIENE,LONG,0.019459036961399168,0.01945901108271686,101996.97017669678,94967.29969978333,0.0
2020-11-04,56,1.0,1.0,0.0,MANTIENE,LONG,0.019787927386763604,0.01978783607647805,104015.27881622314,96846.49705886841,0.0
2020-11-05,57,1.0,1.0,0.0,MANTIENE,LONG,-0.0070074451310960795,-0.007007445649491295,103286.3974571228,96167.85049438477,-0.007007445131096058
2020-11-06,58,1.0,1.0,0.0,MANTIENE,LONG,0.04935487508441261,0.04935488941315547,108384.08470153809,100914.20412063599,0.0
2020-11-09,59,0.0,1.0,-1.0,VENDE,CASH,-0.0010000092389766957,0.005126813625085935,108275.69961547852,101431.57243728638,-0.001000009238976691
2020-11-10,60,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.004031757153886151,108275.69961547852,101840.51990509033,-0.001000009238976691
2020-11-11,61,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.012350810640100462,108275.69961547852,100582.70692825317,-0.001000009238976691
2020-11-12,62,1.0,0.0,1.0,COMPRA,LONG,0.0008210001647064313,0.0018210394111328743,108364.59398269653,100765.87200164795,-0.00017983008202011546
2020-11-13,63,1.0,1.0,0.0,MANTIENE,LONG,0.0047328569930895625,0.004732839346331952,108877.46810913086,101242.7806854248,0.0
2020-11-16,64,0.0,1.0,-1.0,VENDE,CASH,-0.000999966715221512,-0.0003912698431388639,108768.59426498413,101203.16743850708,-0.0009999667152215672
2020-11-17,65,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.00520958916840808,108768.59426498413,101730.39436340332,-0.0009999667152215672
2020-11-18,66,1.0,0.0,1.0,COMPRA,LONG,-0.00976614752178584,-0.008766120084876983,107706.34412765503,100838.61351013184,-0.010756348414549652
2020-11-19,67,0.0,1.0,-1.0,VENDE,CASH,-0.0009999930271653579,0.0039041460908415537,107598.6385345459,101232.30218887329,-0.01174558516830273
2020-11-20,68,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0007825029283509144,107598.6385345459,101153.0876159668,-0.01174558516830273
2020-11-23,69,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.012605393587242775,107598.6385345459,102428.16209793091,-0.01174558516830273
2020-11-24,70,1.0,0.0,1.0,COMPRA,LONG,-0.001198644630838741,-0.0001986663170512326,107469.66600418091,102407.81307220459,-0.012930151016543412
2020-11-25,71,1.0,1.0,0.0,MANTIENE,LONG,-0.00024303374442014025,-0.00024305664686596895,107443.54724884033,102382.92217254639,-0.013170042297946067
2020-11-26,72,0.25,1.0,-0.75,VENDE,LONG,0.00017408153406539562,0.0036962208310600264,107462.25118637085,102761.35206222534,-0.012998253425047497
2020-11-27,73,0.0,0.25,-0.25,VENDE,CASH,-0.0002499282551713389,-0.0033384194211604212,107435.39333343506,102418.2915687561,-0.013244933049420012
2020-11-30,74,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0068571509715043,107435.39333343506,103120.58925628662,-0.013244933049420012
